# Team Work Registry — tab-separated. Commit updates so teammates see who is on which Work ID.
# Columns: work_id status phase operation owner updated note
# status: active | shelved | done | cancelled | archived | available
#
# Updated by: ./scripts/sdlc.sh claim|release|resume|shelf|archive|sync-team
# Override owner label: export SDLC_USER="your-name"
# Opt out of registry writes: export SDLC_NO_TEAM_REGISTRY=1
work_id	status	phase	operation	owner	updated	note
CHORE-001-docgen-initial-documentation	done	sync		John Menke	2026-07-15T23:04:27Z	canvas Final Status: Complete
CHORE-002-docgen-video-generation	done	sync		John Menke	2026-07-15T23:04:27Z	canvas Final Status: Complete
FEAT-001-shared-script-library	done	sync		John Menke	2026-07-15T23:04:27Z	canvas Final Status: Complete
FEAT-002-command-spec-generation	done	sync		John Menke	2026-07-15T23:04:27Z	canvas Final Status: Complete
FEAT-003-extension-hook-manifest	done	sync		John Menke	2026-07-15T23:04:27Z	canvas Final Status: Complete
FEAT-004-prompt-optimization-ledger	done	sync		John Menke	2026-07-15T23:22:00Z	FEAT-004 Complete (T01-T05); review Approved With Notes canvas Final Status: Complete
FEAT-005-canvas-readiness-indicators	done	sync		John Menke	2026-07-15T23:26:07Z	FEAT-005 Complete (T01-T04) canvas Final Status: Complete
FEAT-006-python-orchestration-engine	done	sync		Cursor Agent	2026-07-27T01:05:28Z	Merged via PR #31; present on main
FEAT-007-local-sqlite-index	done	sync		Cursor Agent	2026-07-27T01:05:28Z	Merged via PR #38
FEAT-008-commit-message-command	done	sync		Cursor Agent	2026-07-30T00:00:00Z	Merged via PR #42
FEAT-009-analysis-scope-lock	done	sync		John Menke	2026-07-15T23:22:00Z	canvas complete (renumbered from local FEAT-006)
FEAT-010-jira-compatible-requirements	done	sync		John Menke	2026-07-15T23:22:00Z	canvas complete (renumbered from local FEAT-007)
FEAT-011-milestone-subdirectory-layout	done	sync		John Menke	2026-07-15T23:22:00Z	canvas complete (renumbered from local FEAT-008)
FEAT-012-session-brief-archive	done	sync		John Menke	2026-07-15T23:22:00Z	canvas complete (renumbered from local FEAT-009)
SPIKE-001-guide-rag-context-backend	active	analysis	T01-T08	John Menke	2026-08-01T15:30:00Z	integration:integrate/console-and-spike-001; pr:#24+#54; T06 pending
SPIKE-002-local-llm-and-embedding-format	shelved	analysis	T01	John Menke	2026-07-15T23:31:32Z	Blocked: Guide MCP not connected; analysis ready; resume with SPIKE-001 when guide is up
SPIKE-003-embabel-context-graph-absorption	done	sync	T01-T04	Cursor Agent	2026-08-07T21:15:00Z	accepted hybrid; FEAT-013 intake; PR #76
FEAT-013-guide-git-incremental-upstream	shelved	code	T01	Cursor Agent	2026-08-07T21:35:25Z	Not dogfooding yet — core Guide persist/retrieve development first
